번호,업체명,모델명,월간소비전력량(kwh/월),연간에너지비용(원),용량,효율등급,시간당 이산화탄소 배출량
1,삼성전자(주),RF60C93T2AP,36.85,"71,000",596.5,2,#N/A
2,삼성전자(주),RF60C99A2APG,35.82,"69,000",586.3,2,#N/A
3,오텍캐리어냉장 주식회사,MRNH553BWS1,42.34,"81,000",553.3,3,#N/A
4,오텍캐리어냉장 주식회사,MRNH540AWS1,42.34,"81,000",540.1,3,#N/A
5,오텍캐리어냉장 주식회사,MRNF474SPI1,48.67,"93,000",475,4,#N/A
6,오텍캐리어냉장 주식회사,HRF618NFES1,34.07,"65,000",618,2,#N/A
7,오텍캐리어냉장 주식회사,MRNF436PPS1,41.85,"80,000",436.4,4,#N/A
8,오텍캐리어냉장 주식회사,MRDC117PSM1,23.78,"46,000",117.2,3,#N/A
9,주식회사 코코일렉,CET27CM,27.8,"53,000",274.4,2,#N/A
10,오텍캐리어냉장 주식회사,MRNF436EPS1,41.85,"80,000",436.4,4,#N/A
11,오텍캐리어냉장 주식회사,MRNF436WPS1,41.85,"80,000",436.4,4,#N/A
12,주식회사 코코일렉,BCD-205VX,27.05,"52,000",204.6,3,#N/A
13,오텍캐리어냉장 주식회사,MRNF436MPS1,41.85,"80,000",436.4,4,#N/A
14,오텍캐리어냉장 주식회사,MRDC117MSM1,23.78,"46,000",117.2,3,#N/A
15,오텍캐리어냉장 주식회사,MRDC117ESM1,23.78,"46,000",117.2,3,#N/A
16,오텍캐리어냉장 주식회사,MRDC117GSM1,23.78,"46,000",117.2,3,#N/A
17,삼성전자(주),RF85C9581APW,39.73,"76,000",843.8,1,#N/A
18,오텍캐리어냉장 주식회사,MRNH540BWS1,42.34,"81,000",540.1,3,#N/A
19,오텍캐리어냉장 주식회사,MRNF560MPS1,46.23,"89,000",565.5,3,#N/A
20,오텍캐리어냉장 주식회사,MRNF560WPS1,46.23,"89,000",565.5,3,#N/A
21,오텍캐리어냉장 주식회사,HQ-611RWEN(CE-BCD470WE-JT),48.67,"93,000",475,4,#N/A
22,LG전자(주),S834MEE10,51.64,"99,000",834,2,#N/A
23,오텍캐리어냉장 주식회사,MRNF560PPS1,46.23,"89,000",565.5,3,#N/A
24,오텍캐리어냉장 주식회사,MRNH553AWS1,42.34,"81,000",553.3,3,#N/A
25,오텍캐리어냉장 주식회사,KRNF560NPS1,46.23,"89,000",565.5,3,#N/A
26,오텍캐리어냉장 주식회사,KRNF560BPS1,46.23,"89,000",565.5,3,#N/A
27,삼성전자(주),RF85C9481AP,40.5,"78,000",848.5,1,#N/A
28,LG전자(주),C513LA22RNK,19.09,"37,000",502.7,1,502.5
29,LG전자(주),D262MBE32,24.8,"48,000",269.6,1,#N/A
30,쿠팡 주식회사,P633SBGS,55.5,"107,000",601.4,4,#N/A
31,코스텔(주),CRS-281HAPK,25.42,"49,000",281,2,#N/A
32,쿠팡 주식회사,P633SBGB,55.5,"107,000",601.4,4,#N/A
33,삼성전자(주),RF84C926A4E,40.51,"78,000",875.2,1,#N/A
34,주식회사 코코일렉,BCD-138VX,28.35,"54,000",137.9,3,#N/A
35,루컴즈전자 주식회사,R046H01-S,9.73,"19,000",46.8,4,#N/A
36,주식회사 코코일렉,BCD-258VX,27.8,"53,000",274.4,2,#N/A
37,롯데하이마트(주),HRF-SN604BMHY,41.87,"80,000",604,3,#N/A
38,루컴즈전자 주식회사,DF1-07,9.73,"19,000",46.8,4,46
39,삼성전자(주),RF85C9001AP,42.11,"81,000",878.2,1,#N/A
40,삼성전자(주),RF85C90D255,54.3,"104,000",878.1,2,#N/A
41,삼성전자(주),RF85C90D1AP,41.38,"79,000",878.1,1,#N/A
42,삼성전자(주),RF85C90D2W6,54.3,"104,000",878.1,2,#N/A
43,삼성전자(주),RF85C90D201,54.3,"104,000",878.1,2,#N/A
44,삼성전자(주),RF85C90D2AP,54.3,"104,000",878.1,2,#N/A
45,LG전자(주),T873P012,54.58,"105,000",876.5,2,#N/A
46,삼성전자(주),RF85C90F155,42.16,"81,000",876.6,1,#N/A
47,삼성전자(주),RF85C91J1AP,41.47,"80,000",872,1,#N/A
48,삼성전자(주),RF60C901301,39.97,"77,000",615.7,2,#N/A
49,삼성전자(주),RF85C90F1T1,42.16,"81,000",876.6,1,#N/A
50,주식회사 더블에스글로벌,ERK-83WH,17.41,"33,000",81.2,4,#N/A
51,주식회사 더블에스글로벌,ERK-47BK,12.83,"25,000",45.8,5,#N/A
52,주식회사 더블에스글로벌,ERK-83BK,17.41,"33,000",81.2,4,#N/A
53,쿠팡 주식회사,P633SBGW,55.5,"107,000",601.4,4,#N/A
54,삼성전자(주),RF85C9101AP,41.42,"80,000",874.7,1,#N/A
55,삼성전자(주),RF60C9013W6,39.97,"77,000",615.7,2,#N/A
56,삼성전자(주),RF85C90F101,42.16,"81,000",876.6,1,#N/A
57,LG전자(주),T873P111,41.95,"81,000",873.3,1,#N/A
58,삼성전자(주),RF85C90F1W6,42.16,"81,000",876.6,1,#N/A
59,주식회사 더블에스글로벌,ERK-47WH,12.83,"25,000",45.8,5,#N/A
60,쿠팡 주식회사,P545TMC,39.04,"75,000",538.4,3,#N/A
61,쿠팡 주식회사,P545TMN,39.04,"75,000",538.4,3,#N/A
62,쿠팡 주식회사,P633SBN,56.32,"108,000",601.4,4,#N/A
63,쿠팡 주식회사,P633SBC,56.32,"108,000",601.4,4,#N/A
64,주식회사 위니아에이드,EWRS154HEMCU(A),28.3,"54,000",150,3,#N/A
65,주식회사 위니아에이드,EWRB151HEMPS(A),26.48,"51,000",144,3,#N/A
66,주식회사 위니아에이드,WWRA081HEMDW(A),12.14,"23,000",73,3,#N/A
67,주식회사 위니아에이드,WWRA051HEMDW(A),11.62,"22,000",46,5,#N/A
68,주식회사 위니아에이드,VWRB151HEMES(A),26.48,"51,000",144,3,#N/A
69,주식회사 위니아에이드,WWRC244HEMES(A),34.11,"65,000",239,2,#N/A
70,주식회사 위니아에이드,VWRS121HESCW(A),10.02,"19,000",124,2,#N/A
71,주식회사 위니아에이드,WWRA121HEMDW(A),12.94,"25,000",122,3,#N/A
72,주식회사 위니아에이드,PWRB151HEMDW(A),26.48,"51,000",144,3,#N/A
73,주식회사 위니아에이드,EWRB151HEMDW(A),26.48,"51,000",144,3,#N/A
74,주식회사 위니아에이드,EWRS081HESCU(A),10.53,"20,000",79,3,#N/A
75,주식회사 위니아에이드,VWRS154HEMCE(A),28.3,"54,000",150,3,#N/A
76,주식회사 위니아에이드,EWRS121HESCU(A),10.02,"19,000",124,2,#N/A
77,주식회사 위니아에이드,BWRC244HEMES(A),34.11,"65,000",239,2,#N/A
78,주식회사 위니아에이드,VWRS081HESCW(A),10.53,"20,000",79,3,#N/A
79,주식회사 위니아에이드,NWRB151HEMDW(A),26.48,"51,000",144,3,#N/A
80,삼성전자(주),RF85C91N1QW,40.56,"78,000",854.7,1,#N/A
81,삼성전자(주),RF85C91M101,40.42,"78,000",855.8,1,#N/A
82,삼성전자(주),RF85C91N1W6,40.56,"78,000",854.7,1,#N/A
83,쿠팡 주식회사,P633SBW,56.32,"108,000",601.4,4,#N/A
84,쿠팡 주식회사,P545TMW,39.04,"75,000",538.4,3,#N/A
85,삼성전자(주),RF85C90F1AP,42.16,"81,000",876.6,1,#N/A
86,삼성전자(주),RF85C91M1W6,40.42,"78,000",855.8,1,#N/A
87,삼성전자(주),RF60C9013AP,39.97,"77,000",615.7,2,#N/A
88,LG전자(주),M874GBB151,41.39,"79,000",877.2,1,#N/A
89,LG전자(주),M874GCB452,51.95,"100,000",879.5,2,#N/A
90,LG전자(주),M874GBB452,51.95,"100,000",879.5,2,#N/A
91,LG전자(주),M874GBB451,43.27,"83,000",879.5,1,#N/A
92,LG전자(주),M874GBB551,43.54,"84,000",873.4,1,#N/A
93,LG전자(주),M874AAA451,43.27,"83,000",879.5,1,#N/A
94,LG전자(주),M874AAA252,54.95,"106,000",872.6,2,#N/A
95,LG전자(주),M874GBB252,54.95,"106,000",872.6,2,#N/A
96,LG전자(주),M874GTB551,43.54,"84,000",873.4,1,#N/A
97,삼성전자(주),RF85C91M1AP,40.42,"78,000",855.8,1,#N/A
98,LG전자(주),M874AAA152,50.49,"97,000",877.2,2,#N/A
99,LG전자(주),M874AAA151,41.39,"79,000",877.2,1,#N/A
100,LG전자(주),M874GBB152,50.49,"97,000",877.2,2,#N/A
101,LG전자(주),M874AAA452,51.95,"100,000",879.5,2,#N/A
102,LG전자(주),M874AAA551,43.54,"84,000",873.4,1,#N/A
103,삼성전자(주),RF85C90N1AP,40.32,"77,000",858.1,1,#N/A
104,LG전자(주),M874AAA251,42.34,"81,000",872.6,1,#N/A
105,LG전자(주),M874GBC251,42.34,"81,000",872.6,1,#N/A
106,LG전자(주),M874GBB251,42.34,"81,000",872.6,1,#N/A
107,삼성전자(주),RF85C91N1AP,40.56,"78,000",854.7,1,#N/A
108,삼성전자(주),RF85C90J1W6,41.79,"80,000",875.5,1,#N/A
109,삼성전자(주),RF85C91D101,41.14,"79,000",874.6,1,#N/A
110,삼성전자(주),RF85C91D1W6,41.14,"79,000",874.6,1,#N/A
111,하이얼 전자판매(주),HRB276MDM,26.33,"51,000",240,2,#N/A
112,LG전자(주),S834S1D,51.64,"99,000",834,2,#N/A
113,삼성전자(주),RF85C91D155,41.14,"79,000",874.6,1,#N/A
114,삼성전자(주),RF85C9241W6,41.22,"79,000",866.7,1,#N/A
115,삼성전자(주),RF85C91D13Y,41.14,"79,000",874.6,1,#N/A
116,삼성전자(주),RF85C91P1QW,40.85,"78,000",853.3,1,#N/A
117,삼성전자(주),RF85C9241AP,41.22,"79,000",866.7,1,#N/A
118,삼성전자(주),RF85C91P1AP,40.85,"78,000",853.3,1,#N/A
119,삼성전자(주),RF85C90J1AP,41.79,"80,000",875.5,1,#N/A
120,삼성전자(주),RF85C98Y2AP,51.9,"100,000",828.1,2,#N/A
121,삼성전자(주),RF60C9012AP,34.9,"67,000",615.7,2,#N/A
122,삼성전자(주),RF85C96X2AP,51.52,"99,000",835.8,2,#N/A
123,삼성전자(주),RF85C97Y2AP,50.98,"98,000",830.5,2,#N/A
124,삼성전자(주),RF85C91D1AP,41.14,"79,000",874.6,1,#N/A
125,삼성전자(주),RF85C94J2AP,52.21,"100,000",869.4,2,#N/A
126,삼성전자(주),RF85C9141AP,41.44,"80,000",870.6,1,#N/A
127,루컴즈전자 주식회사,R310H01-S,23.85,"46,000",310.1,1,#N/A
128,루컴즈전자 주식회사,R860M2-S,22.39,"43,000",86,4,#N/A
129,루컴즈전자 주식회사,RTW136H1,23.85,"46,000",136,3,#N/A
130,삼성전자(주),RF75CB821312,50.94,"98,000",748.5,3,#N/A
131,삼성전자(주),RF75CB861312,51.22,"98,000",739.2,3,#N/A
132,루컴즈전자 주식회사,FN2-46S-2,23.85,"46,000",310.1,1,310.2
133,오텍캐리어냉장 주식회사,KRNF560PPS1,46.23,"89,000",565.5,3,#N/A
134,오텍캐리어냉장 주식회사,KRNF560MPS1,46.23,"89,000",565.5,3,#N/A
135,LG전자(주),W824AAA482,52.59,"101,000",823.8,2,#N/A
136,LG전자(주),W824GBB172,52.59,"101,000",823.8,2,#N/A
137,LG전자(주),W824GBB482,52.59,"101,000",823.8,2,#N/A
138,LG전자(주),W824AAA472,52.59,"101,000",823.8,2,#N/A
139,LG전자(주),W824SGS482,52.59,"101,000",823.8,2,#N/A
140,LG전자(주),W824AAA172,52.59,"101,000",823.8,2,#N/A
141,LG전자(주),W824SKV482,52.59,"101,000",823.8,2,#N/A
142,LG전자(주),W824GKB472,52.59,"101,000",823.8,2,#N/A
143,LG전자(주),W824SKV472,52.59,"101,000",823.8,2,#N/A
144,오텍캐리어냉장 주식회사,KRNF560WPS1,46.23,"89,000",565.5,3,#N/A
145,LG전자(주),W824GBB472,52.59,"101,000",823.8,2,#N/A
146,주식회사 오리온,BMS138RS,28.98,"56,000",137.8,3,#N/A
147,주식회사 오리온,BMS168RW,31.62,"61,000",168.8,3,#N/A
148,주식회사 오리온,HP168DS,31.62,"61,000",168.8,3,#N/A
149,주식회사 오리온,BMS168RS,31.62,"61,000",168.8,3,#N/A
150,삼성전자(주),RF84C906B4W,46.35,"89,000",878.2,2,#N/A
151,삼성전자(주),RF84C906B4E,46.35,"89,000",878.2,2,#N/A
152,LG전자(주),S834MTE45,54.43,"105,000",834,2,#N/A
153,루컴즈전자 주식회사,RTW180H1,25.31,"49,000",182.3,3,#N/A
154,하이얼 전자판매(주),ART118MDI,19.98,"38,000",113.9,3,#N/A
155,LG전자(주),D602MEE33,41.44,"80,000",589.8,3,#N/A
156,LG전자(주),M874GNN3A1,40.88,"78,000",832.9,1,#N/A
157,루컴즈전자 주식회사,DF2-231,25.31,"49,000",182.3,3,#N/A
158,LG전자(주),M874GNN0A1,41.32,"79,000",830.2,1,#N/A
159,오텍캐리어냉장 주식회사,CRF-TD046SSA,9.73,"19,000",45.8,4,#N/A
160,굿일렉,RPS47BDA,10.14,"19,000",43.5,4,43.5
161,굿일렉,WR47L,10.14,"19,000",43.5,4,43.5
162,주식회사 더바오파트너스,R157D1-MS1BM,25.31,"49,000",157.7,3,#N/A
163,주식회사 더바오파트너스,R117D1-MS1BM,23.85,"46,000",117.5,3,#N/A
164,주식회사 위니아전자매뉴팩처링,EWRY556EEMPS,60.44,"116,000",550,4,550
165,주식회사 위니아전자매뉴팩처링,VWRY556GEMES,60.44,"116,000",550,4,550
166,주식회사 위니아전자매뉴팩처링,WWRY556EEMWE,60.44,"116,000",550,4,550
167,주식회사 더바오파트너스,R092D1-MS0TM,14.11,"27,000",91.7,3,#N/A
168,주식회사 더바오파트너스,R046D1-MS0TM,11.19,"21,000",46,4,#N/A
169,주식회사 더바오파트너스,R205D1-MS1BM,25.79,"50,000",203.2,3,203.2
170,주식회사 더바오파트너스,R262D1-MS1BM,32.12,"62,000",260.7,3,#N/A
171,주식회사 더바오파트너스,R086D1-MS1TM,19.95,"38,000",85.9,4,85.9
172,주식회사 위니아전자매뉴팩처링,EWRY556EEMWE,60.44,"116,000",550,4,550
173,주식회사 더블에스글로벌,TR-81A,17.41,"33,000",81.2,4,81.2
174,주식회사 더블에스글로벌,TR-06Q,12.83,"25,000",45.8,5,#N/A
175,주식회사 더바오파트너스,BCD-157,25.31,"49,000",157.7,3,157.7
176,주식회사 더바오파트너스,BCD-117xK,23.85,"46,000",117.5,3,117.5
177,주식회사 더바오파트너스,BC-92,14.11,"27,000",91.7,3,91.7
178,주식회사 더바오파트너스,BC-46,11.19,"21,000",46,4,46
179,주식회사 더바오파트너스,BCD-86,19.95,"38,000",85.9,4,85.9
180,주식회사 더바오파트너스,BCD-262,32.12,"62,000",260.7,3,260.7
181,주식회사 더바오파트너스,BCD-205,25.79,"50,000",203.2,3,203.2
182,오텍캐리어냉장 주식회사,HRF566NFES1,46.23,"89,000",565.5,3,565.5
183,주식회사 위니아전자매뉴팩처링,WWRY556EEMTS,60.44,"116,000",550,4,550
184,쿠팡 주식회사,F75SDVS,15.92,"31,000",76,4,76
185,주식회사 위니아,GWRW486GEGDNO,38.45,"74,000",479,3,479
186,주식회사 스타리온성철,RCM281JPR,32.17,"62,000",273.1,2,273.1
187,LG전자(주),M873GBB252,54.95,"106,000",872.6,2,872.6
188,LG전자(주),M873MWW252,54.95,"106,000",872.6,2,872.6
189,LG전자(주),M873GBB151,41.39,"79,000",877.2,1,877.2
190,LG전자(주),M623GYW352,37.16,"71,000",611.3,2,611.3
191,쿠팡 주식회사,F48SDVS,11.77,"23,000",47,5,47
192,쿠팡 주식회사,F48SDPS,11.77,"23,000",47,5,47
193,LG전자(주),M873GKB151,41.39,"79,000",877.2,1,877.2
194,삼성전자(주),RF84C906BCW,46.35,"89,000",878.2,2,878.2
195,루컴즈전자 주식회사,BCD-250WE-63H,33.58,"64,000",250,2,250
196,오텍캐리어냉장 주식회사,KRDT211WEM1,23.85,"46,000",210.4,3,210.4
197,오텍캐리어냉장 주식회사,KRNC231WEM1,30.17,"58,000",231.1,2,231.1
198,오텍캐리어냉장 주식회사,KRNC250SEM1,29.69,"57,000",250.9,2,250.9
199,LG전자(주),M623GBB352,37.16,"71,000",611.3,2,611.3
200,삼성전자(주),RF84C906BCE,46.35,"89,000",878.2,2,878.2
201,LG전자(주),M873GKB252,54.95,"106,000",872.6,2,872.6
202,LG전자(주),M623GKB352,37.16,"71,000",611.3,2,611.3
203,LG전자(주),M873AAA252,54.95,"106,000",872.6,2,872.6
204,LG전자(주),M623GNN0A2,36.26,"70,000",601.9,2,601.9
205,LG전자(주),M623GNN3A2,37.23,"71,000",604.7,2,604.7
206,LG전자(주),M873GTB451,43.27,"83,000",879.5,1,879.5
207,LG전자(주),M873AAA151,41.39,"79,000",877.2,1,877.2
208,쿠팡 주식회사,F75SDW,15.92,"31,000",76,4,76
209,쿠팡 주식회사,F48SDW,11.77,"23,000",47,5,47
210,LG전자(주),M623AAA352,37.16,"71,000",611.3,2,611.3
211,LG전자(주),M873GBB451,43.27,"83,000",879.5,1,879.5
212,LG전자(주),M873GBB2P2,54.65,"105,000",863.1,2,863.1
213,LG전자(주),M873AAA451,43.27,"83,000",879.5,1,879.5
214,LG전자(주),M873GBB5P2,54.65,"105,000",863.1,2,863.1
215,LG전자(주),M873AAA2P2,54.65,"105,000",863.1,2,863.1
216,LG전자(주),M873AAA5P2,54.65,"105,000",863.1,2,863.1
217,주식회사 스타리온성철,RCM281JPL,32.17,"62,000",273.1,2,273.1
218,LG전자(주),M873GBB551,43.54,"84,000",873.4,1,873.4
219,LG전자(주),M873SKV551,43.54,"84,000",873.4,1,873.4
220,LG전자(주),M873AAA551,43.54,"84,000",873.4,1,873.4
221,LG전자(주),M873GTB551,43.54,"84,000",873.4,1,873.4
222,(주)세고스 광주공장,BRS665130SR,49.92,"96,000",657.7,3,657.7
223,(주)세고스 광주공장,BRS685030SR,47.68,"92,000",679.1,3,679.1
224,(주)유니하이테크,BCD-82(E),27.74,"53,000",80.3,5,80.3
225,오텍캐리어냉장 주식회사,KRDT168SEM1,30.66,"59,000",167.8,3,167.8
226,LG전자(주),S834MGW1D,51.64,"99,000",834,2,834
227,LG전자(주),S834MGG1D,51.64,"99,000",834,2,834
228,오텍캐리어냉장 주식회사,KRDT138BEM1,30.17,"58,000",139.2,3,139.2
229,오텍캐리어냉장 주식회사,KRDT138SEM2,30.17,"58,000",139.2,3,139.2
230,오텍캐리어냉장 주식회사,KRNT255WEM1,28.71,"55,000",255.1,2,255.1
231,오텍캐리어냉장 주식회사,KRNT348WEM1,34.55,"66,000",348.3,2,348.3
232,오텍캐리어냉장 주식회사,KRDT138WEM2,30.17,"58,000",139.2,3,139.2
233,LG전자(주),S834MWW1D,51.64,"99,000",834,2,834
234,LG전자(주),S834MWW12,51.64,"99,000",834,2,834
235,LG전자(주),S634MGW12Q,50.99,"98,000",653.8,3,653.8
236,오텍캐리어냉장 주식회사,KRDT138BEM2,30.17,"58,000",139.2,3,139.2
237,오텍캐리어냉장 주식회사,KRDT138SEM1,30.17,"58,000",139.2,3,139.2
238,LG전자(주),S834MGW12,51.64,"99,000",834,2,834
239,하이얼 전자판매(주),BCD-276B,26.33,"51,000",240,2,240
240,하이얼 전자판매(주),BCD-255B,25.26,"48,000",221.1,2,221.1
241,주식회사 가람,RJ153TTY,28.69,"55,000",149.5,3,149.5
242,주식회사 가람,RJ208TTBG,20.59,"40,000",201.7,2,201.7
243,주식회사 씨엔컴퍼니,REF-D138W,26.5,"51,000",130.9,3,130.9
244,주식회사 씨엔컴퍼니,REF-D95W,24.37,"47,000",82.8,4,82.8
245,주식회사 오리온,ORD-138B0W,28.98,"56,000",137.8,3,137.8
246,주식회사 오리온,ORD-168B0W,31.62,"61,000",168.8,3,168.8
247,LG전자(주),M402ND,30.03,"58,000",400.6,3,400.6
248,삼성전자(주),RF85B92V1AP,41.12,"79,000",858,1,858
249,LG전자(주),D502MEE33,37.09,"71,000",508.4,3,508.4
250,LG전자(주),D502MEE53,37.09,"71,000",508.4,3,508.4
251,LG전자(주),D472MEE33,37.23,"71,000",479.9,3,479.9
252,주식회사 씨엔컴퍼니,LAR-S47W,14.98,"29,000",45.2,5,45.2
253,주식회사 씨엔컴퍼니,LAR-S71W,14.67,"28,000",66.4,4,66.4
254,LG전자(주),D602MEE52,34.91,"67,000",591.2,2,591.2
255,하이얼 전자판매(주),HRB253MDS,31.27,"60,000",225.4,3,225.4
256,하이얼 전자판매(주),HRT93MDB,14.67,"28,000",84.2,4,84.2
257,주식회사 위니아에이드,WWRB081EEMWWO(A),22.64,"43,000",84.5,4,84.5
258,주식회사 스타리온성철,B053S14,8.85,"17,000",43.4,4,43.4
259,하이얼 전자판매(주),HRT93MDW,14.67,"28,000",84.2,4,84.2
260,삼성전자(주),RF60B91Y301,38.13,"73,000",616,2,616
261,주식회사 스타리온성철,B053W14,8.85,"17,000",43.4,4,43.4
262,삼성전자(주),RF60B91Y3AP,38.13,"73,000",616,2,616
263,(주)유이테크,MDRS460FGF46,52.67,"101,000",456.2,4,456.2
264,주식회사 스타리온성철,B103S14,17.52,"34,000",89.6,4,89.6
265,코스텔(주),CRFN-184IV,24.56,"47,000",184.3,3,184.3
266,하나엔지니어링코리아(주),MHR-70GR,15.82,"30,000",77.1,4,77.1
267,주식회사 스타리온성철,B103W14,17.52,"34,000",89.6,4,89.6
268,하나엔지니어링코리아(주),MHR-90GR,19.76,"38,000",93.7,4,93.7
269,주식회사 씨엔컴퍼니,REF-S70W,14.67,"28,000",66.4,4,66.4
270,주식회사 위니아에이드,WWRB081EEMWWO,22.64,"43,000",84.5,4,84.5
271,주식회사 씨엔컴퍼니,REF-S50W,14.98,"29,000",45.2,5,45.2
272,LG전자(주),S834BB10,51.64,"99,000",834,2,834
273,코스텔(주),CRFN-184RD,24.56,"47,000",184.3,3,184.3
274,코스텔(주),CRS-215GAIV,35.27,"68,000",213,3,213
275,코스텔(주),CRFN-81IV,23.28,"45,000",80.7,4,80.7
276,하나엔지니어링코리아(주),MHR-138GR,31.54,"61,000",128,4,128
277,하나엔지니어링코리아(주),MHR-230GR,32.85,"63,000",203,3,203
278,하나엔지니어링코리아(주),MHR-175GR,31.91,"61,000",166,3,166
279,코스텔(주),BCD-215VF-63H,35.27,"68,000",213,3,213
280,오텍캐리어냉장 주식회사,CRFSN622MDR,39.42,"76,000",622,2,622
281,주식회사 위니아,EWRW486GEMMSO,38.45,"74,000",479,3,479
282,주식회사 위니아,GWRW486GEGLSO,38.45,"74,000",479,3,479
283,주식회사 위니아,WWRW486EEGDNO,38.45,"74,000",479,3,479
284,주식회사 위니아,VWRW486GEMISO,38.45,"74,000",479,3,479
285,주식회사 위니아,WWRW486EEGDDO,38.45,"74,000",479,3,479
286,LG전자(주),H874GCB012,54.58,"105,000",876.5,2,876.5
287,LG전자(주),H874GKB012,54.58,"105,000",876.5,2,876.5
288,LG전자(주),H874GCB312,54.58,"105,000",876.5,2,876.5
289,LG전자(주),H874GTB312,54.58,"105,000",876.5,2,876.5
290,LG전자(주),H874GYW312,54.58,"105,000",876.5,2,876.5
291,LG전자(주),H874GYW012,54.58,"105,000",876.5,2,876.5
292,LG전자(주),H874GWW312,54.58,"105,000",876.5,2,876.5
293,LG전자(주),H874GWW012,54.58,"105,000",876.5,2,876.5
294,LG전자(주),H874GBC012,54.58,"105,000",876.5,2,876.5
295,LG전자(주),H874GBB012,54.58,"105,000",876.5,2,876.5
296,LG전자(주),H874GBB312,54.58,"105,000",876.5,2,876.5
297,LG전자(주),H874GKB312,54.58,"105,000",876.5,2,876.5
298,주식회사 위니아전자매뉴팩처링,WWRW928GSGTD1,39.95,"77,000",870,1,870
299,주식회사 위니아전자매뉴팩처링,WWRW928GSGTM1,39.95,"77,000",870,1,870
300,주식회사 위니아전자매뉴팩처링,WWRW928GSGTW1,39.95,"77,000",870,1,870
301,삼성전자(주),RS84B5041WW,52.34,"100,000",850.6,2,850.6
302,하이얼 전자판매(주),HRT210MDY,22.93,"44,000",206.4,2,206.4
303,삼성전자(주),RS84B5041M9,52.34,"100,000",850.6,2,850.6
304,주식회사 스타리온성철,RCL284JBR,15.14,"29,000",274.6,1,274.6
305,삼성전자(주),RS84B508115,39.82,"76,000",850.6,1,850.6
306,삼성전자(주),RS84B5061M9,52.14,"100,000",850.6,2,850.6
307,삼성전자(주),RS84B5041W4,52.34,"100,000",850.6,2,850.6
308,삼성전자(주),RS84B5041SA,52.34,"100,000",850.6,2,850.6
309,삼성전자(주),RS84B5041CW,52.34,"100,000",850.6,2,850.6
310,삼성전자(주),RS84B5041G2,52.34,"100,000",850.6,2,850.6
311,삼성전자(주),RS84B5071SL,52.34,"100,000",850.6,2,850.6
312,삼성전자(주),RS84B5071WW,52.34,"100,000",850.6,2,850.6
313,삼성전자(주),RS84B5061B4,52.14,"100,000",850.6,2,850.6
314,삼성전자(주),RS84B5001CW,49.02,"94,000",855.7,2,855.7
315,삼성전자(주),RS80B5190B4,47.47,"91,000",810.8,2,810.8
316,오텍캐리어냉장 주식회사,CRFCD205MDC,22.43,"43,000",205,2,205
317,주식회사 스타리온성철,RCL284JBL,15.14,"29,000",274.6,1,274.6
318,삼성전자(주),RS84B5081SA,39.82,"76,000",850.6,1,850.6
319,삼성전자(주),RS84B5080CW,40,"77,000",849.5,1,849.5
320,삼성전자(주),RS84B5080CE,40,"77,000",849.5,1,849.5
321,삼성전자(주),RS84B50716C,52.34,"100,000",850.6,2,850.6
322,(주)제이컬렉션,FAB10RPB5,19.25,"37,000",116.7,3,116.7
323,하이얼 전자판매(주),BCD-361WF,46.19,"89,000",355,5,355
324,루컴즈전자 주식회사,GP-RCS312M1,27.87,"54,000",312,1,312
325,(주)제이컬렉션,FAB10RPK5,19.25,"37,000",116.7,3,116.7
326,(주)제이컬렉션,FAB10RPG5,19.25,"37,000",116.7,3,116.7
327,(주)제이컬렉션,FAB10RWH5,19.25,"37,000",116.7,3,116.7
328,(주)제이컬렉션,FAB10RRD5,19.25,"37,000",116.7,3,116.7
329,(주)제이컬렉션,FAB10ROR5,19.25,"37,000",116.7,3,116.7
330,(주)제이컬렉션,FAB10RDUJ5,19.25,"37,000",116.7,3,116.7
331,주식회사 위니아에이드,BWRB155EEMWSO(A),24.74,"48,000",154.6,3,154.6
332,(주)제이컬렉션,FAB10RBL5,19.25,"37,000",116.7,3,116.7
333,(주)쎄덱,ICBPRO4850G,72.03,"138,000",852,4,852
334,LG전자(주),T873MHH012,54.58,"105,000",876.5,2,876.5
335,(주)쎄덱,ICBPRO4850,72.03,"138,000",852,4,852
336,주식회사 씨엔컴퍼니,REF-S50R,11.76,"23,000",42.3,5,42.3
337,주식회사 씨엔컴퍼니,REF-S50C,11.76,"23,000",42.3,5,42.3
338,주식회사 씨엔컴퍼니,BC-50BLH(E),11.76,"23,000",42.3,5,42.3
339,(주)유이테크,MDRT166FGO28,34.29,"66,000",170.4,3,170.4
340,LG전자(주),T873MHE012,54.58,"105,000",876.5,2,876.5
341,LG전자(주),T873MEE012,54.58,"105,000",876.5,2,876.5
342,LG전자(주),T873MEH012,54.58,"105,000",876.5,2,876.5
343,LG전자(주),T873MWG012,54.58,"105,000",876.5,2,876.5
344,삼성전자(주),RR40B78A5AP,13.86,"27,000",402.4,1,402.4
345,LG전자(주),T873MHH111,41.95,"81,000",873.3,1,873.3
346,삼성전자(주),RR40B79A5AP,13.86,"27,000",402.4,1,402.4
347,주식회사 위니아에이드,EWRB181EEMWWO(A),33.55,"64,000",181.7,3,181.7
348,주식회사 씨엔컴퍼니,REF-D212W,24.96,"48,000",210.6,3,210.6
349,삼성전자(주),RF85B92L1AP,40.96,"79,000",870.6,1,870.6
350,주식회사 위니아에이드,WWRB181EEMWSO(A),33.55,"64,000",181.7,3,181.7
